CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46434G103,IEMG,ISHARES INC,3196,11,264.72K,911.11,+0.3%,0.07%
89832Q109,TFC,TRUIST FINL CORP,5187,18,258.44K,896.82,+0.3%,0.07%
780087102,RY,ROYAL BK CDA,2817,0,582.96K,0,NO CHANGE,0.16%
33740F458,GAPR,FIRST TR EXCHNG TRADED FD VI,11803,0,491.88K,0,NO CHANGE,0.13%
22160K105,COST,COSTCO WHOLESALE CORPORATION,433,0,405.31K,0,NO CHANGE,0.11%
53635D202,LQDA,LIQUIDIA CORPORATION,4700,0,374.73K,0,NO CHANGE,0.1%
392709101,GRBK,GREEN BRICK PARTNERS INC,4300,0,344.17K,0,NO CHANGE,0.09%
46120E602,ISRG,INTUITIVE SURGICAL INC,789,0,313.77K,0,NO CHANGE,0.09%
00326A104,SGOL,ETFS GOLD TR,7930,0,303.16K,0,NO CHANGE,0.08%
46284V101,IRM,IRON MTN INC DEL,2306,0,291.27K,0,NO CHANGE,0.08%
56585A102,MPC,MARATHON PETE CORP,1100,0,281.24K,0,NO CHANGE,0.08%
464287408,IVE,ISHARES TR,1223,0,277.69K,0,NO CHANGE,0.08%
00214Q104,ARKK,ARK ETF TR,3248,0,262.51K,0,NO CHANGE,0.07%
33740F664,FOCT,FIRST TR EXCHNG TRADED FD VI,4980,0,260.4K,0,NO CHANGE,0.07%
33734X721,RCTR,FIRST TR EXCHANGE-TRADED FD,7210,0,242.67K,0,NO CHANGE,0.07%
37954Y673,PAVE,GLOBAL X FDS,4031,0,237.51K,0,NO CHANGE,0.06%
62914V106,NIO,NIO INC,36877,0,186.6K,0,NO CHANGE,0.05%
18914F103,CLOV,CLOVER HEALTH INVESTMENTS CO,20200,0,105.85K,0,NO CHANGE,0.03%
33740U505,FDEC,FIRST TR EXCHNG TRADED FD VI,4038,-2,219.94K,-108.93,-0%,0.06%
33738R605,FV,FIRST TR EXCHANGE TRADED FD,14866,-2,1.13M,-151.76,-0%,0.31%
03076C106,AMP,AMERIPRISE FINL INC,3132,-6,1.44M,-2.75K,-0.2%,0.39%
375558103,GILD,GILEAD SCIENCES INC,1703,-29,215.16K,-3.66K,-1.7%,0.06%
29250N105,ENB,ENBRIDGE INC,7924,-73,429.58K,-3.96K,-0.9%,0.12%
46222L108,IONQ,IONQ INC,77507,-87,4.13M,-4.63K,-0.1%,1.1%
92206C623,VTWG,VANGUARD SCOTTSDALE FDS,1647,-17,473.67K,-4.89K,-1%,0.13%
136385101,CNQ,CANADIAN NAT RES LTD MED TER,8029,-170,317.15K,-6.72K,-2.1%,0.09%
69374H873,ICOW,PACER FDS TR,5436,-174,226.31K,-7.24K,-3.1%,0.06%
81369Y803,XLK,SELECT SECTOR SPDR TR,2821,-39,537.48K,-7.43K,-1.4%,0.15%
33740F862,FAUG,FIRST TR EXCHNG TRADED FD VI,11557,-146,653.03K,-8.25K,-1.2%,0.18%
33737A108,GRID,FIRST TR EXCHANGE-TRADED FD,1595,-48,305.84K,-9.2K,-2.9%,0.08%
49456B101,KMI,KINDER MORGAN INC DEL,8288,-308,264.97K,-9.85K,-3.6%,0.07%
842587107,SO,SOUTHERN CO,5856,-103,560.5K,-9.86K,-1.7%,0.15%
717081103,PFE,PFIZER INC,10076,-412,242.62K,-9.92K,-3.9%,0.07%
76655K103,RGTI,RIGETTI COMPUTING INC,217325,-534,4.2M,-10.32K,-0.2%,1.1%
007903107,AMD,ADVANCED MICRO DEVICES INC,4512,-18,2.62M,-10.46K,-0.4%,0.72%
33740U695,GOCT,FIRST TR EXCHNG TRADED FD VI,13591,-269,564.63K,-11.18K,-1.9%,0.15%
126408103,CSX,CSX CORP,6141,-241,291.88K,-11.45K,-3.8%,0.08%
21036P108,STZ,CONSTELLATION BRANDS INC,3980,-84,553.51K,-11.68K,-2.1%,0.15%
33740U307,FSEP,FIRST TR EXCHNG TRADED FD VI,4781,-214,263.34K,-11.79K,-4.3%,0.07%
744320102,PRU,PRUDENTIAL FINL INC,2867,-119,309.41K,-12.84K,-4%,0.08%
33740U869,YJUN,FIRST TR EXCHNG TRADED FD VI,12815,-506,343.44K,-13.56K,-3.8%,0.09%
33740F466,SMAY,FIRST TR EXCHNG TRADED FD VI,12635,-514,358.58K,-14.59K,-3.9%,0.1%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,3276,-21,2.45M,-15.68K,-0.6%,0.67%
553498106,MSA,MSA SAFETY INC,7111,-103,1.24M,-17.98K,-1.4%,0.34%
092528603,BINC,BLACKROCK ETF TRUST II,6966,-375,364.59K,-19.63K,-5.1%,0.1%
20825C104,COP,CONOCOPHILLIPS,3111,-192,323.37K,-19.96K,-5.8%,0.09%
464287465,EFA,ISHARES TR,4738,-203,492.18K,-21.09K,-4.1%,0.13%
548661107,LOW,LOWES COS INC,929,-101,204.78K,-22.26K,-9.8%,0.06%
92826C839,V,VISA INC,9031,-70,3.1M,-24.02K,-0.8%,0.85%
316773100,FITB,FIFTH THIRD BANCORP,4591,-437,258.8K,-24.63K,-8.7%,0.07%
231021106,CMI,CUMMINS INC,1862,-35,1.33M,-24.96K,-1.8%,0.36%
369550108,GD,GENERAL DYNAMICS CORP,2937,-71,1.04M,-25.15K,-2.4%,0.28%
00534A102,IVVD,INVIVYD INC,0,-20000,0,-26K,CLOSE,0%
437076102,HD,HOME DEPOT INC,1790,-85,631.43K,-29.98K,-4.5%,0.17%
33740F581,QMAR,FIRST TR EXCHNG TRADED FD VI,25150,-940,936.46K,-35K,-3.6%,0.26%
92537N108,VRT,VERTIV HOLDINGS CO,4887,-111,1.64M,-37.17K,-2.2%,0.45%
59156R108,MET,METLIFE INC,2866,-456,242.51K,-38.59K,-13.7%,0.07%
539830109,LMT,LOCKHEED MARTIN CORP,898,-80,457.51K,-40.76K,-8.2%,0.13%
G29183103,ETN,EATON CORP PLC,1989,-98,847.55K,-41.76K,-4.7%,0.23%
31620R303,FNF,FIDELITY NATL FINL INC,4595,-894,216.69K,-42.16K,-16.3%,0.06%
