CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
74255Y607,PSC,PRINCIPAL EXCHANGE TRADED FD,66133,-351,4.64M,-24.62K,-0.5%,0.17%
166764100,CVX,CHEVRON CORP NEW,2987,-152,495K,-25.19K,-4.8%,0.02%
459506101,IFF,INTERNATIONAL FLAVORS&FRAGRA,15009,-319,1.19M,-25.27K,-2.1%,0.04%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,18587,-218,2.29M,-26.84K,-1.2%,0.08%
437076102,HD,HOME DEPOT INC,2737,-77,965K,-27.15K,-2.7%,0.04%
72346Q104,PNFP,PINNACLE FINL PARTNERS INC,17304,-284,1.75M,-28.66K,-1.6%,0.06%
81369Y605,XLF,SELECT SECTOR SPDR TR SBI INT-FINL,55177,-540,2.96M,-28.95K,-1%,0.11%
921943858,VEA,VANGUARD TAX-MANAGED INTL FD FTSE DEV MKT,6390,-407,455K,-28.98K,-6%,0.02%
46429B689,EFAV,ISHARES TR,5741,-335,504K,-29.41K,-5.5%,0.02%
717081103,PFE,PFIZER INC,140297,-1242,3.38M,-29.9K,-0.9%,0.12%
464287200,IVV,ISHARES TR CORE S&P500,3059,-42,2.29M,-31.46K,-1.4%,0.08%
194162103,CL,COLGATE PALMOLIVE CO,5069,-344,465K,-31.56K,-6.4%,0.02%
Y2573F102,FLEX,FLEXTRONICS INTL LTD,48125,-199,7.8M,-32.25K,-0.4%,0.28%
713448108,PEP,PEPSICO INC,3900,-241,528K,-32.63K,-5.8%,0.02%
22052L104,CTVA,CORTEVA INC,31521,-386,2.67M,-32.7K,-1.2%,0.1%
46429B697,USMV,ISHARES TR USA MIN VOL,2859,-349,276K,-33.69K,-10.9%,0.01%
922908769,VTI,VANGUARD INDEX FDS TOTAL STK,4025,-97,1.49M,-35.88K,-2.4%,0.05%
G8994E103,TT,TRANE TECHNOLOGIES PLC,22628,-74,11.11M,-36.35K,-0.3%,0.41%
97717W521,OPPJ,WISDOMTREE TR,4398,-632,254K,-36.5K,-12.6%,<.01%
37954Y293,MLPX,GLOBAL X FDS GLB X MLP ENRG,5158,-498,380K,-36.69K,-8.8%,0.01%
78468R663,BIL,SPDR SER TR SPDR,3500,-430,321K,-39.44K,-10.9%,0.01%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,6632,-642,408K,-39.5K,-8.8%,0.01%
92556V106,VTRS,VIATRIS INC,15353,-2563,244K,-40.73K,-14.3%,<.01%
81369Y209,XLV,SELECT SECTOR SPDR TR SBI HEALTHCARE,4280,-258,679K,-40.93K,-5.7%,0.02%
172967424,C,CITIGROUP INC,1880,-300,263K,-41.97K,-13.8%,<.01%
81369Y100,XLB,SELECT SECTOR SPDR TR SBI MATERIALS,11356,-847,577K,-43.04K,-6.9%,0.02%
060505104,BAC,BANK AMER CORP,28870,-757,1.65M,-43.13K,-2.6%,0.06%
626717102,MUR,MURPHY OIL CORP,17196,-1325,560K,-43.15K,-7.2%,0.02%
72815L107,PLTK,PLAYTIKA HLDG CORP,0,-16362,0,-45K,CLOSE,0%
464287655,IWM,ISHARES TR RUSSELL 2000,7701,-150,2.31M,-45.07K,-1.9%,0.08%
375558103,GILD,GILEAD SCIENCES INC,6467,-365,817K,-46.11K,-5.3%,0.03%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,7229,-101,3.45M,-48.23K,-1.4%,0.13%
039483102,ADM,ARCHER DANIELS MIDLAND CO,47099,-638,3.6M,-48.74K,-1.3%,0.13%
03027X100,AMT,AMERICAN TOWER CORP NEW,3582,-300,586K,-49.08K,-7.7%,0.02%
345370860,F,FORD MTR CO DEL,69747,-3535,969K,-49.11K,-4.8%,0.04%
72201R304,LTPZ,PIMCO ETF TR,4547,-976,230K,-49.37K,-17.7%,<.01%
880779103,TEX,TEREX CORP NEW,61591,-691,4.46M,-50.03K,-1.1%,0.16%
78467X109,DIA,SPDR DOW JONES INDL AVRG UT SER 1,12784,-99,6.68M,-51.71K,-0.8%,0.24%
042735100,ARW,ARROW ELECTRS INC,21945,-248,4.68M,-52.92K,-1.1%,0.17%
46428Q109,SLV,ISHARES SILVER TRUST,439963,-1000,23.52M,-53.47K,-0.2%,0.86%
46434G848,PICK,ISHARES INC MSCI GBL,9941,-950,578K,-55.24K,-8.7%,0.02%
64828T201,RITM,NEW RESIDENTIAL INVT CORP,12003,-6348,113K,-59.76K,-34.6%,<.01%
H11356104,BG,BUNGE LIMITED,46739,-599,4.99M,-63.93K,-1.3%,0.18%
05156X850,ACB,AURORA CANNABIS INC,0,-20000,0,-65K,CLOSE,0%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,57865,-233,16.27M,-65.52K,-0.4%,0.59%
15135B101,CNC,CENTENE CORP DEL,36704,-1054,2.36M,-67.66K,-2.8%,0.09%
464287234,EEM,ISHARES TR MSCI EMG MKT,4800,-1000,328K,-68.33K,-17.2%,0.01%
97717X552,OPPE,WISDOMTREE TR,4695,-1276,262K,-71.21K,-21.4%,<.01%
149123101,CAT,CATERPILLAR INC DEL,2306,-67,2.46M,-71.36K,-2.8%,0.09%
128030202,CALM,CAL MAINE FOODS INC,2544,-893,205K,-71.96K,-26%,<.01%
70451X104,PAYO,PAYONEER GLOBAL INC,0,-16001,0,-77K,CLOSE,0%
126650100,CVS,CVS HEALTH CORP,23845,-749,2.47M,-77.49K,-3%,0.09%
038923108,ABR,ARBOR REALTY TRUST INC,0,-10663,0,-82K,CLOSE,0%
539830109,LMT,LOCKHEED MARTIN CORP,506,-161,258K,-82.09K,-24.1%,<.01%
00775Y652,SAGP,ADVISORS INNER CIRCLE FD III,97507,-2335,3.46M,-82.9K,-2.3%,0.13%
110122108,BMY,BRISTOL MYERS SQUIBB CO,4071,-1445,235K,-83.41K,-26.2%,<.01%
46641Q332,JEPI,J P MORGAN EXCHANGE-TRADED F EQUITY,17518,-1586,989K,-89.54K,-8.3%,0.04%
958102105,WDC,WESTERN DIGITAL CORP,39491,-141,25.22M,-90.06K,-0.4%,0.92%
532457108,LLY,LILLY ELI & CO,2759,-81,3.31M,-97.18K,-2.9%,0.12%
025072604,AVEM,AMERICAN CENTY ETF TR,2549,-1018,246K,-98.25K,-28.5%,<.01%
09260D107,BX,BLACKSTONE GROUP INC COM,40926,-850,4.82M,-100.02K,-2%,0.18%
92203J407,BNDX,VANGUARD CHARLOTTE FDS INTL BD IDX,15388,-2067,745K,-100.07K,-11.8%,0.03%
65339F101,NEE,NEXTERA ENERGY INC,12547,-1199,1.1M,-105.21K,-8.7%,0.04%
700517105,PK,PARK HOTELS RESORTS INC,0,-10085,0,-106K,CLOSE,0%
58933Y105,MRK,MERCK & CO INC,7081,-840,910K,-107.95K,-10.6%,0.03%
260557103,DOW,DOW INC,47331,-3967,1.29M,-108.54K,-7.7%,0.05%
78464A870,XBI,SPDR SER TR S&P,8181,-700,1.29M,-110.81K,-7.9%,0.05%
125523100,CI,CIGNA CORP NEW,14629,-404,4.03M,-111.38K,-2.7%,0.15%
N20944109,CNH,CNH INDL N V,0,-10142,0,-112K,CLOSE,0%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,584,-232,293K,-116.4K,-28.4%,0.01%
75513E101,RTX,RAYTHEON TECHNOLOGIES CORP,5002,-669,949K,-126.93K,-11.8%,0.03%
17275R102,CSCO,CISCO SYS INC,85680,-1126,10.06M,-132.26K,-1.3%,0.37%
36828A101,GEV,GE VERNOVA INC,975,-113,1.15M,-132.7K,-10.4%,0.04%
23355L106,DXC,DXC TECHNOLOGY CO,0,-10623,0,-134K,CLOSE,0%
