CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
14020W106,CGDV,CAPITAL GROUP DIVIDEND VALUE,138270,-54,6.81M,-2.66K,-0%,<.01%
35473P629,FLHY,FRANKLIN TEMPLETON ETF TR,0,-111,0,-2.68K,CLOSE,0%
46138E727,PXH,INVESCO EXCH TRADED FD TR II,1839,-97,51.27K,-2.7K,-5%,<.01%
78468R812,QUS,SPDR SERIES TRUST,0,-16,0,-2.75K,CLOSE,0%
37954Y871,URA,GLOBAL X FDS,423,-66,18.48K,-2.88K,-13.5%,<.01%
66987V109,NVS,NOVARTIS AG,126866,-19,19.88M,-2.98K,-0%,<.01%
316092865,FUTY,FIDELITY COVINGTON TRUST,719,-52,42K,-3.04K,-6.7%,<.01%
808524730,FNDE,SCHWAB STRATEGIC TR,2154,-79,85.47K,-3.13K,-3.5%,<.01%
78464A375,SPIB,SPDR SERIES TRUST,0,-95,0,-3.19K,CLOSE,0%
808524649,SCMB,SCHWAB STRATEGIC TR,0,-134,0,-3.41K,CLOSE,0%
97717W315,DEM,WISDOMTREE TR,24488,-64,1.32M,-3.44K,-0.3%,<.01%
464287192,IYT,ISHARES TR,1078,-40,93.52K,-3.47K,-3.6%,<.01%
808524748,FNDC,SCHWAB STRATEGIC TR,1519,-74,73.76K,-3.59K,-4.6%,<.01%
97717W505,DON,WISDOMTREE TR,14238,-68,804.73K,-3.84K,-0.5%,<.01%
33735J101,FTA,FIRST TR EXCHANGE-TRADED ALP,16645,-41,1.61M,-3.97K,-0.2%,<.01%
002896207,ANF,ABERCROMBIE & FITCH CO,91784,-45,8.26M,-4.05K,-0%,<.01%
19762B202,XCEM,COLUMBIA ETF TR II,146,-79,7.72K,-4.18K,-35.1%,<.01%
46137V142,PHO,INVESCO EXCHANGE TRADED FD T,2663,-61,183.96K,-4.21K,-2.2%,<.01%
58450V104,MAX,MEDIAALPHA INC,180171,-340,2.26M,-4.27K,-0.2%,<.01%
97717W570,EZM,WISDOMTREE TR,19317,-60,1.46M,-4.55K,-0.3%,<.01%
921910733,ESGV,VANGUARD WORLD FD,0,-42,0,-4.71K,CLOSE,0%
15101Q207,CLS,CELESTICA INC,550,-13,200.64K,-4.74K,-2.3%,<.01%
97717W604,DES,WISDOMTREE TR,11732,-120,477.26K,-4.88K,-1%,<.01%
606822104,MUFG,MITSUBISHI UFJ FINANCIAL GRO,1217315,-248,24.21M,-4.93K,-0%,<.01%
78464A201,SLYG,SPDR SERIES TRUST,313,-42,37.29K,-5K,-11.8%,<.01%
