CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
93627C101,HCC,WARRIOR MET COAL INC,1959,-1716,158.99K,-139.27K,-46.7%,<.01%
20030N101,CMCSA,COMCAST CORP NEW,0,-4925,0,-141.4K,CLOSE,0%
866674104,SUI,SUN CMNTYS INC,0,-1134,0,-142.84K,CLOSE,0%
81211K100,SEE,SEALED AIR CORP NEW,0,-3400,0,-142.97K,CLOSE,0%
379577208,GMED,GLOBUS MED INC,0,-1669,0,-143.8K,CLOSE,0%
29260V105,DAVA,ENDAVA PLC,0,-33309,0,-147.23K,CLOSE,0%
90400D108,RARE,ULTRAGENYX PHARMACEUTICAL IN,0,-7039,0,-147.47K,CLOSE,0%
426281101,JKHY,HENRY JACK & ASSOC INC,0,-934,0,-147.61K,CLOSE,0%
G8060N102,ST,SENSATA TECHNOLOGIES HLDG PL,0,-4200,0,-147.92K,CLOSE,0%
464288661,IEI,ISHARES TR,0,-1277,0,-151.45K,CLOSE,0%
501889208,LKQ,LKQ CORP,40778,-5764,1.07M,-151.77K,-12.4%,0.01%
950915108,WRD,WERIDE INC,41154,-26146,239.52K,-152.17K,-38.8%,<.01%
53635D202,LQDA,LIQUIDIA CORPORATION,0,-4049,0,-152.81K,CLOSE,0%
732908108,PONY,PONY AI INC,50582,-22217,351.55K,-154.41K,-30.5%,<.01%
172755100,CRUS,CIRRUS LOGIC INC,681,-1043,101.15K,-154.92K,-60.5%,<.01%
57164Y107,VAC,MARRIOTT VACATIONS WORLDWIDE,0,-2456,0,-159.94K,CLOSE,0%
G97822103,PRGO,PERRIGO CO PLC,0,-14969,0,-160.77K,CLOSE,0%
392709101,GRBK,GREEN BRICK PARTNERS INC,0,-2568,0,-165.51K,CLOSE,0%
354613101,BEN,FRANKLIN RESOURCES INC,0,-7370,0,-174.08K,CLOSE,0%
404280406,HSBC,HSBC HLDGS PLC,0,-2123,0,-175.13K,CLOSE,0%
04016X101,ARGX,ARGENX SE,0,-243,0,-177.45K,CLOSE,0%
533900106,LECO,LINCOLN ELEC HLDGS INC,0,-716,0,-178.34K,CLOSE,0%
G6359F137,NBR,NABORS INDUSTRIES LTD,0,-2076,0,-178.66K,CLOSE,0%
69553P100,PD,PAGERDUTY INC,0,-28808,0,-178.9K,CLOSE,0%
129500104,CAL,CALERES INC,0,-16992,0,-179.1K,CLOSE,0%
86333M108,LRN,STRIDE INC,0,-2053,0,-181.01K,CLOSE,0%
872540109,TJX,TJX COS INC NEW,69625,-1197,10.55M,-181.35K,-1.7%,0.15%
G89479102,TRMD,TORM PLC,4152,-6988,108.2K,-182.11K,-62.7%,<.01%
754730109,RJF,RAYMOND JAMES FINL INC,0,-1262,0,-182.72K,CLOSE,0%
754907103,RYN,RAYONIER INC,0,-8876,0,-183.02K,CLOSE,0%
464286822,EWW,ISHARES INC,9035,-2500,680.06K,-188.17K,-21.7%,<.01%
624756102,MLI,MUELLER INDS INC,2478,-1532,304.62K,-188.33K,-38.2%,<.01%
Y62267409,NMM,NAVIOS MARITIME PARTNERS LP,5292,-2699,370.81K,-189.12K,-33.8%,<.01%
457669307,INSM,INSMED INC,5834,-1786,622.02K,-190.42K,-23.4%,<.01%
56418H100,MAN,MANPOWERGROUP INC WIS,0,-6512,0,-191.84K,CLOSE,0%
574795100,MASI,MASIMO CORP,0,-1100,0,-195.66K,CLOSE,0%
833635105,SQM,SOCIEDAD QUIMICA Y MINERA DE,0,-2424,0,-196.2K,CLOSE,0%
70975L107,PEN,PENUMBRA INC,0,-600,0,-197.02K,CLOSE,0%
513272104,LW,LAMB WESTON HLDGS INC,13494,-4637,582.67K,-200.23K,-25.6%,<.01%
40415F101,HDB,HDFC BANK LTD,0,-8074,0,-200.88K,CLOSE,0%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,0,-3551,0,-201.09K,CLOSE,0%
464286871,EWH,ISHARES INC,14570,-9617,304.8K,-201.19K,-39.8%,<.01%
941848103,WAT,WATERS CORP,0,-693,0,-206.38K,CLOSE,0%
83304A106,SNAP,SNAP INC,174244,-46499,773.64K,-206.46K,-21.1%,0.01%
733174700,BPOP,POPULAR INC,0,-1543,0,-207.02K,CLOSE,0%
87043Q108,SG,SWEETGREEN INC,297952,-23700,2.62M,-208.8K,-7.4%,0.04%
37954Y673,PAVE,GLOBAL X FDS,0,-4155,0,-211.12K,CLOSE,0%
89531P105,TREX,TREX INC,0,-5804,0,-211.38K,CLOSE,0%
46121Y201,IPI,INTREPID POTASH INC,0,-4955,0,-211.93K,CLOSE,0%
758750103,RRX,REGAL REXNORD CORPORATION,0,-1139,0,-213.29K,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,0,-1300,0,-213.37K,CLOSE,0%
988498101,YUM,YUM BRANDS INC,0,-1387,0,-215.65K,CLOSE,0%
216648501,COO,COOPER COS INC,0,-3025,0,-216.29K,CLOSE,0%
00130H105,AES,AES CORP,52576,-14878,770.76K,-218.11K,-22.1%,0.01%
902681105,UGI,UGI CORP NEW,0,-6115,0,-222.71K,CLOSE,0%
63947X101,NCNO,NCINO INC,0,-15000,0,-224.7K,CLOSE,0%
98311A105,WH,WYNDHAM HOTELS & RESORTS INC,1760,-2673,148.21K,-225.09K,-60.3%,<.01%
50189K103,LCII,LCI INDS,688,-2129,72.84K,-225.42K,-75.6%,<.01%
559663109,MGY,MAGNOLIA OIL & GAS CORP,0,-7258,0,-229.13K,CLOSE,0%
G5279N105,KLAR,KLARNA GROUP PLC,23072,-11346,466.98K,-229.64K,-33%,<.01%
00912X302,AL,AIR LEASE CORP,0,-3548,0,-230.41K,CLOSE,0%
52490G102,LEGN,LEGEND BIOTECH CORP,0,-12744,0,-230.54K,CLOSE,0%
92556V106,VTRS,VIATRIS INC,36152,-14604,574.09K,-231.91K,-28.8%,<.01%
