CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,-4372,0,-2.12M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,3111,-4219,1.81M,-2.45M,-57.6%,0.95%
88160R101,TSLA,TESLA INC,3319,-6292,1.4M,-2.65M,-65.5%,0.73%
46090E103,QQQ,INVESCO QQQ TR,0,-4893,0,-2.82M,CLOSE,0%
92189F676,SMH,VANECK ETF TRUST,2469,-4537,1.62M,-2.98M,-64.8%,0.85%
458140100,INTC,INTEL CORP,6564,-44036,917K,-6.15M,-87%,0.48%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,0,-26231,0,-6.36M,CLOSE,0%
056752108,BIDU,BAIDU INC,6989,-58161,799K,-6.65M,-89.3%,0.42%
025816109,AXP,AMERICAN EXPRESS CO,33934,-30269,11.48M,-10.24M,-47.1%,6%
595112103,MU,MICRON TECHNOLOGY INC,311,-18607,359K,-21.48M,-98.4%,0.19%
46625H100,JPM,JPMORGAN CHASE & CO,0,-98586,0,-29M,CLOSE,0%
Total,,,,,191.08M,-63.08M,-29%,100%
