CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
72147K108,PPC,PILGRIMS PRIDE CORP,4702462,1123415,132.19M,31.58M,+31.4%,0.08%
G01767105,ALKS,ALKERMES PLC,1312031,601734,68.74M,31.53M,+84.7%,0.04%
53635D202,LQDA,LIQUIDIA CORPORATION,1267706,394641,101.07M,31.46M,+45.2%,0.06%
88034P109,TME,TENCENT MUSIC ENTMT GROUP,10325869,3752962,86.22M,31.34M,+57.1%,0.05%
37954Y848,SIL,GLOBAL X FDS,402290,402290,31.16M,31.16M,NEW,0.02%
14174T107,CTRE,CARETRUST REIT INC,1817723,765639,73.35M,30.89M,+72.8%,0.05%
H5919C104,ONON,ON HLDG AG,920124,869655,32.59M,30.8M,+1723.1%,0.02%
91332U101,U,UNITY SOFTWARE INC,9082560,1064499,259.58M,30.42M,+13.3%,0.16%
23918K108,DVA,DAVITA INC,640827,136188,142.57M,30.3M,+27%,0.09%
754730109,RJF,RAYMOND JAMES FINL INC,339446,198013,51.61M,30.1M,+140%,0.03%
724479100,PBI,PITNEY BOWES INC,3812173,1711472,66.79M,29.98M,+81.5%,0.04%
64110D104,NTAP,NETAPP INC,309551,192512,47.91M,29.79M,+164.5%,0.03%
649445400,FLG,FLAGSTAR BANK NATIONAL ASSOC,2051450,1966305,30.65M,29.38M,+2309.4%,0.02%
83444M101,SOLV,SOLVENTUM CORP,526392,380525,40.61M,29.36M,+260.9%,0.03%
23282W605,CYTK,CYTOKINETICS INC,1048103,341472,89.29M,29.09M,+48.3%,0.06%
025537101,AEP,AMERICAN ELEC PWR CO INC,253790,212325,34.72M,29.05M,+512.1%,0.02%
607828100,MOD,MODINE MFG CO,455129,108434,121.53M,28.95M,+31.3%,0.08%
78467J100,SSNC,SS&C TECH HLDGS,1405531,463897,87.21M,28.78M,+49.3%,0.05%
197236102,COLB,COLUMBIA BKG SYS INC,897711,897711,28.77M,28.77M,NEW,0.02%
67080NAA9,,NUVATION BIO INC,27500000,27500000,28.76M,28.76M,NEW,0.02%
60855R100,MOH,MOLINA HEALTHCARE INC,208027,125544,47.58M,28.71M,+152.2%,0.03%
346375108,FORM,FORMFACTOR INC,421377,178734,67.39M,28.58M,+73.7%,0.04%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,1453718,296670,139.73M,28.52M,+25.6%,0.09%
861012102,STM,STMICROELECTRONICS N V,428683,378431,32.1M,28.34M,+753.1%,0.02%
313745101,FRT,FEDERAL RLTY INVT TR NEW,225888,225888,27.88M,27.88M,NEW,0.02%
059460303,BBD,BANCO BRADESCO S A,10616935,8000697,36.84M,27.76M,+305.8%,0.02%
412822108,HOG,HARLEY DAVIDSON INC,2273686,1130141,55.61M,27.64M,+98.8%,0.03%
058498106,BALL,BALL CORP,772448,442777,48.2M,27.63M,+134.3%,0.03%
80401C100,SATL,SATELLOGIC INC,6511301,4818464,37.24M,27.56M,+284.6%,0.02%
G4705A100,ICLR,ICON PUB LTD CO,1357143,158588,235.75M,27.55M,+13.2%,0.15%
457669307,INSM,INSMED INC,5877959,252134,626.71M,26.88M,+4.5%,0.39%
23355L106,DXC,DXC TECHNOLOGY CO,5774326,3026459,51.1M,26.78M,+110.1%,0.03%
338307AF8,FIVN,FIVE9 INC,30000000,30000000,26.68M,26.68M,NEW,0.02%
98980G102,ZS,ZSCALER INC,257003,188824,36.28M,26.65M,+277%,0.02%
466313103,JBL,JABIL INC,359239,68378,138.48M,26.36M,+23.5%,0.09%
464288224,ICLN,ISHARES TR,1284619,1284619,26.32M,26.32M,NEW,0.02%
912008109,USFD,US FOODS HLDG CORP,938328,255799,95.94M,26.16M,+37.5%,0.06%
81369Y860,XLRE,SELECT SECTOR SPDR TR,614909,578304,27.07M,25.46M,+1579.8%,0.02%
780259305,SHEL,SHELL PLC,3105170,324873,240.77M,25.19M,+11.7%,0.15%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,15385109,2659204,144.47M,24.97M,+20.9%,0.09%
92333F101,VG,VENTURE GLOBAL INC,15644297,2234223,174.12M,24.87M,+16.7%,0.11%
03770N101,APGE,APOGEE THERAPEUTICS INC,246086,187251,32.66M,24.85M,+318.3%,0.02%
86384P109,STUB,STUBHUB HLDGS INC,1925107,1925107,24.78M,24.78M,NEW,0.02%
H5012F103,LAR,LITHIUM ARGENTINA AG,5866986,2993428,48.51M,24.75M,+104.2%,0.03%
36317J209,GLXY,GALAXY DIGITAL INC.,5965997,903563,163.11M,24.7M,+17.8%,0.1%
004225108,ACAD,ACADIA PHARMACEUTICALS INC,1697937,968101,42.96M,24.49M,+132.6%,0.03%
04621X108,AIZ,ASSURANT INC,133460,90870,35.84M,24.4M,+213.4%,0.02%
016255101,ALGN,ALIGN TECHNOLOGY INC,211142,143820,35.61M,24.26M,+213.6%,0.02%
015857105,AQN,ALGONQUIN POWER & UTILITIES,7517208,4115050,44.08M,24.13M,+121%,0.03%
83671M105,SOBO,SOUTH BOW CORP,1127006,684232,39.68M,24.09M,+154.5%,0.02%
500631106,KEP,KOREA ELEC PWR CORP,2085254,1986880,25.23M,24.04M,+2019.7%,0.02%
00191U102,EFOR,EVERFORTH INC,1923057,1345207,34.37M,24.04M,+232.8%,0.02%
534187109,LNC,LINCOLN NATL CORP IND,1290765,678059,45.63M,23.97M,+110.7%,0.03%
23804L103,DDOG,DATADOG INC,144705,91705,37.68M,23.88M,+173%,0.02%
00835Q202,AEVA,AEVA TECHNOLOGIES INC,830579,830579,23.85M,23.85M,NEW,0.01%
517834107,LVS,LAS VEGAS SANDS CORP,9052131,514715,418.12M,23.77M,+6%,0.26%
896239100,TRMB,TRIMBLE INC,1273344,458459,65.17M,23.46M,+56.3%,0.04%
40434L105,HPQ,HP INC,2924738,1057748,64.17M,23.21M,+56.7%,0.04%
G037AX101,AMBA,AMBARELLA INC,515084,269919,44.19M,23.16M,+110.1%,0.03%
654902204,NOK,NOKIA CORP,3804689,1742424,50.53M,23.14M,+84.5%,0.03%
70339W104,PTRN,PATTERN GROUP INC,912917,912917,23M,23M,NEW,0.01%
68170A108,OMDA,OMADA HEALTH INC,1202058,1047066,26.39M,22.98M,+675.6%,0.02%
