CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464288687,PFF,ISHARES TR,18773,4555,572.4K,138.89K,+32%,<.01%
46138E537,PZA,INVESCO EXCH TRADED FD TR II,17442,5890,410.24K,138.53K,+51%,<.01%
47103U852,JMBS,JANUS DETROIT STR TR,3079,3079,138.51K,138.51K,NEW,<.01%
46137V597,PRFZ,INVESCO EXCHANGE TRADED FD T,58058,2470,3.24M,137.75K,+4.4%,<.01%
08975B109,BBAI,BIGBEAR AI HLDGS INC,56924,37480,208.91K,137.55K,+192.8%,<.01%
33734X135,FXO,FIRST TR EXCHANGE-TRADED FD,7007,2196,437.66K,137.16K,+45.6%,<.01%
92189F643,MOAT,VANECK ETF TRUST,47904,1312,4.98M,136.39K,+2.8%,<.01%
530307107,LBRDA,LIBERTY BROADBAND CORP,16692,4087,555.51K,136.02K,+32.4%,<.01%
165303108,CPK,CHESAPEAKE UTILS CORP,8420,1109,1.03M,135.84K,+15.2%,<.01%
879080109,TRC,TEJON RANCH CO,8098,7233,151.43K,135.26K,+836.2%,<.01%
87283Q503,TSPA,T ROWE PRICE EXCHANGE-TRADED,2867,2834,136.27K,134.7K,+8587.9%,<.01%
532746104,LMNR,LIMONEIRA CO,14469,10258,189.98K,134.69K,+243.6%,<.01%
921932885,IVOO,VANGUARD ADMIRAL FDS INC,11182,1025,1.46M,133.65K,+10.1%,<.01%
17133Q502,CHT,CHUNGHWA TELECOM CO LTD,114650,3018,5.07M,133.58K,+2.7%,<.01%
25434V500,DFAS,DIMENSIONAL ETF TRUST,18350,1621,1.51M,133.47K,+9.7%,<.01%
032797300,AVXL,ANAVEX LIFE SCIENCES CORP,60024,51529,155.46K,133.46K,+606.6%,<.01%
19761L607,MUST,COLUMBIA ETF TR I,9727,6370,202.32K,132.49K,+189.8%,<.01%
23204X103,CTOS,CUSTOM TRUCK ONE SOURCE INC,117428,11166,1.39M,131.87K,+10.5%,<.01%
350060109,FSTR,FOSTER L B CO,30155,2912,1.36M,131.54K,+10.7%,<.01%
464288109,ILCV,ISHARES TR,12709,1297,1.29M,131.31K,+11.4%,<.01%
14843C105,CSTL,CASTLE BIOSCIENCES INC,55871,5459,1.33M,130.2K,+10.8%,<.01%
46435U325,IBMQ,ISHARES TR,6378,5065,163.15K,129.56K,+385.8%,<.01%
361008105,FNKO,FUNKO INC,280847,21980,1.65M,129.24K,+8.5%,<.01%
043113208,ARTNA,ARTESIAN RES CORP,7147,3802,242.93K,129.23K,+113.7%,<.01%
826917106,SIGA,SIGA TECHNOLOGIES INC,58858,35456,214.24K,129.06K,+151.5%,<.01%
46137V498,XSMO,INVESCO EXCHANGE TRADED FD T,8292,1376,776.38K,128.83K,+19.9%,<.01%
46138J742,IUS,INVESCO EXCH TRD SLF IDX FD,8518,1961,558.59K,128.6K,+29.9%,<.01%
98943L107,ZNTL,ZENTALIS PHARMACEUTICALS INC,310264,26347,1.5M,127.78K,+9.3%,<.01%
46138J619,OMFL,INVESCO EXCH TRD SLF IDX FD,12978,1858,889.53K,127.35K,+16.7%,<.01%
03475V101,ANGO,ANGIODYNAMICS INC,104516,9768,1.36M,127.08K,+10.3%,<.01%
75902K106,RM,REGIONAL MGMT CORP,65657,3070,2.71M,126.48K,+4.9%,<.01%
98401F105,XNCR,XENCOR INC,119745,7854,1.93M,126.45K,+7%,<.01%
