CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
90278Q108,UFPI,UFP INDUSTRIES INC,60500,-2500,5.49M,-226.85K,-4%,<.01%
25461A189,DUST,DIREXION SHARES ETF TRUST,20476,-3574,1.3M,-227.16K,-14.9%,<.01%
G9001E128,LILAK,LIBERTY LATIN AMERICA LTD,655000,-29200,5.1M,-227.47K,-4.3%,<.01%
37954Y715,BOTZ,GLOBAL X FDS,0,-6900,0,-229.22K,CLOSE,0%
38911N206,GRVY,GRAVITY CO LTD,0,-3700,0,-229.25K,CLOSE,0%
45685K102,INFU,INFUSYSTEM HLDGS INC,543009,-23800,5.24M,-229.67K,-4.2%,<.01%
309627107,FMNB,FARMERS NATIONAL BANC CORP,39335,-15814,574.29K,-230.88K,-28.7%,<.01%
25961D105,DOUG,DOUGLAS ELLIMAN INC,3019624,-131500,5.34M,-232.75K,-4.2%,<.01%
98459U103,YALA,YALLA GROUP LTD,334500,-43000,1.84M,-236.07K,-11.4%,<.01%
82312B106,SHEN,SHENANDOAH TELECOMMUNICATION,48000,-15800,723.84K,-238.26K,-24.8%,<.01%
83190L208,SMBK,SMARTFINANCIAL INC,147181,-5093,6.91M,-238.96K,-3.3%,<.01%
683827208,OCC,OPTICAL CABLE CORP,71903,-11400,1.51M,-239.06K,-13.7%,<.01%
86183P102,SRI,STONERIDGE INC,252200,-32700,1.85M,-239.36K,-11.5%,<.01%
46435U713,IFRA,ISHARES TR,0,-4200,0,-240.24K,CLOSE,0%
46641Q670,JCPB,J P MORGAN EXCHANGE TRADED F,0,-5172,0,-243.5K,CLOSE,0%
92859G608,VZLA,VIZSLA SILVER CORP,1725700,-74528,5.69M,-245.94K,-4.1%,<.01%
19239V302,CCOI,COGENT COMM HOLDINGS INC,49231,-17900,683.33K,-248.45K,-26.7%,<.01%
50066V305,KORE,KORE GROUP HLDGS INC,61841,-27100,570.79K,-250.13K,-30.5%,<.01%
16934Q802,CIM,CHIMERA INVT CORP,24653,-18800,328.87K,-250.79K,-43.3%,<.01%
15713L109,CRVO,CERVOMED INC,0,-63904,0,-251.78K,CLOSE,0%
30052C107,EOLS,EVOLUS INC,302569,-36456,2.1M,-253K,-10.8%,<.01%
92762J103,VIOT,VIOMI TECHNOLOGY CO LTD,378964,-324516,296.35K,-253.77K,-46.1%,<.01%
146103106,CARE,CARTER BANKSHARES INC,0,-11000,0,-256.52K,CLOSE,0%
15235A102,AXIA,CENTRAIS ELET BRAS SA,0,-20500,0,-256.87K,CLOSE,0%
20369C106,CHCT,COMMUNITY HEALTHCARE TR INC,14900,-14100,272.37K,-257.75K,-48.6%,<.01%
32054K103,FR,FIRST INDL RLTY TR INC,0,-4500,0,-260.32K,CLOSE,0%
224633206,CRDA,CRAWFORD & CO,472324,-23100,5.32M,-260.34K,-4.7%,<.01%
829242106,SBGI,SINCLAIR INC,36921,-18279,526.12K,-260.48K,-33.1%,<.01%
095825105,BRBS,BLUE RIDGE BANKSHARES INC VA,466653,-73800,1.65M,-260.51K,-13.7%,<.01%
922908611,VBR,VANGUARD INDEX FDS,0,-1200,0,-260.7K,CLOSE,0%
38747R496,RDTL,GRANITESHARES ETF TR,0,-17700,0,-262.12K,CLOSE,0%
86722A103,SXC,SUNCOKE ENERGY INC,2161661,-33000,17.4M,-265.65K,-1.5%,0.02%
30231G102,XOM,EXXON MOBIL CORP,0,-1580,0,-266.17K,CLOSE,0%
82728C102,SVCO,SILVACO GROUP INC,0,-37600,0,-266.21K,CLOSE,0%
00166B105,ALXO,ALX ONCOLOGY HLDGS INC,603797,-128802,1.25M,-266.62K,-17.6%,<.01%
002942100,AARD,AARDVARK THERAPEUTICS INC,0,-70792,0,-266.89K,CLOSE,0%
47804J206,JHMM,JOHN HANCOCK EXCHANGE TRADED,0,-4000,0,-268.48K,CLOSE,0%
89421Q205,TZOO,TRAVELZOO,541101,-23000,6.32M,-268.64K,-4.1%,<.01%
59064R109,MLAB,MESA LABS INC,28900,-2700,2.88M,-268.79K,-8.5%,<.01%
98887Q104,ZLAB,ZAI LAB LTD,0,-14300,0,-268.98K,CLOSE,0%
92204A207,VDC,VANGUARD WORLD FD,0,-1200,0,-269.51K,CLOSE,0%
N07059210,ASML,ASML HLDG NV,203,-135,406.53K,-270.35K,-39.9%,<.01%
00770K202,AMTX,AEMETIS INC,0,-85200,0,-271.79K,CLOSE,0%
46990A102,JRVR,JAMES RIV GROUP HOLDINGS INC,0,-43400,0,-273.42K,CLOSE,0%
070203104,BSET,BASSETT FURNITURE INDS INC,288543,-15618,5.11M,-276.75K,-5.1%,<.01%
68376D104,OPRT,OPORTUN FINL CORP,51179,-48900,292.23K,-279.22K,-48.9%,<.01%
86959K105,SUZ,SUZANO S A,678300,-36000,5.26M,-279.36K,-5%,<.01%
34986A104,FWRD,FORWARD AIR CORP,190739,-20800,2.58M,-281.01K,-9.8%,<.01%
29970N104,EVEX,EVE HLDG INC,232226,-111997,582.89K,-281.11K,-32.5%,<.01%
68401U204,OPRX,OPTIMIZERX CORP,167700,-49156,959.24K,-281.17K,-22.7%,<.01%
95123P106,WTBA,WEST BANCORPORATION INC,171752,-10700,4.56M,-283.87K,-5.9%,<.01%
124830878,CBL,CBL & ASSOC PPTYS INC,313827,-5367,16.66M,-284.93K,-1.7%,0.02%
66979W842,NMG,NOUVEAU MONDE GRAPHITE INC,1242879,-190144,1.86M,-285.22K,-13.3%,<.01%
539319301,LIXT,LIXTE BIOTECHNOLOGY HLDGS IN,0,-93000,0,-285.51K,CLOSE,0%
46333X108,IRWD,IRONWOOD PHARMACEUTICALS INC,7993226,-67847,33.65M,-285.64K,-0.8%,0.05%
